epoch,step,train_acc,train_loss,val_acc,val_loss
0,14,0.69808030128479,4.785613536834717,,
2,29,,,2.682403326034546,4.55623197555542
2,29,1.7183514833450317,4.613301753997803,,
4,44,2.0002684593200684,4.555692672729492,,
6,59,,,2.1459226608276367,4.530515670776367
6,59,1.9734193086624146,4.544013977050781,,
8,74,2.0271177291870117,4.538595199584961,,
10,89,,,2.1459226608276367,4.553288459777832
10,89,1.8660222291946411,4.5337300300598145,,
12,104,2.1882131099700928,4.526612758636475,,
14,119,,,1.609442114830017,4.636297225952148
14,119,2.389582395553589,4.515807628631592,,
16,134,2.6178009510040283,4.49725866317749,,
18,149,,,1.716738224029541,4.829042434692383
18,149,3.047389030456543,4.456480026245117,,
20,164,4.02738618850708,4.395075798034668,,
22,179,,,1.824034333229065,5.025447368621826
22,179,5.302725315093994,4.300317764282227,,
24,194,6.403543949127197,4.168944358825684,,
26,209,,,1.824034333229065,4.925004482269287
26,209,8.618606567382812,4.000131607055664,,
28,224,10.83366870880127,3.8316848278045654,,
30,239,,,1.824034333229065,4.8312087059021
30,239,13.532017707824707,3.6513309478759766,,
32,254,15.666532516479492,3.4709584712982178,,
34,269,,,2.0386266708374023,4.724785804748535
34,269,18.432004928588867,3.2991011142730713,,
36,284,21.54651641845703,3.1174473762512207,,
38,299,,,2.25321888923645,4.594517230987549
38,299,24.96979522705078,2.9337480068206787,,
40,314,28.473621368408203,2.7532637119293213,,
42,329,,,2.3605151176452637,4.449755668640137
42,329,33.051414489746094,2.5697691440582275,,
44,344,36.11222839355469,2.389923334121704,,
46,359,,,2.3605151176452637,4.338252067565918
46,359,40.5289306640625,2.2021284103393555,,
48,374,44.717411041259766,2.015953302383423,,
50,389,,,2.896995782852173,4.1880292892456055
50,389,48.79849624633789,1.841975212097168,,
52,404,53.966976165771484,1.6613649129867554,,
54,419,,,3.5407724380493164,4.027203559875488
54,419,58.397098541259766,1.4916859865188599,,
56,434,62.85407257080078,1.3405839204788208,,
58,449,,,3.8626608848571777,3.954953193664551
58,449,66.8411865234375,1.20049250125885,,
60,464,70.38528442382812,1.0826455354690552,,
62,479,,,4.399141788482666,3.829555034637451
62,479,74.76171112060547,0.9573222398757935,,
64,494,77.60773468017578,0.8529672622680664,,
66,509,,,5.686695098876953,3.7380237579345703
66,509,82.02442932128906,0.7399935722351074,,
68,524,85.3537368774414,0.6389912962913513,,
70,539,,,7.832618236541748,3.5626397132873535
70,539,88.64276885986328,0.5482438206672668,,
72,554,90.9518051147461,0.47009286284446716,,
74,569,,,12.017167091369629,3.4358458518981934
74,569,92.49563598632812,0.4102151691913605,,
76,584,94.61672973632812,0.34535807371139526,,
78,599,,,14.59227466583252,3.2673346996307373
78,599,95.798095703125,0.2835942506790161,,
80,614,96.60356903076172,0.2420433759689331,,
82,629,,,18.133047103881836,3.2375993728637695
82,629,97.2748031616211,0.20849984884262085,,
84,644,97.55671691894531,0.17999595403671265,,
86,659,,,19.957080841064453,3.120659589767456
86,659,98.48301696777344,0.1470286101102829,,
88,674,98.8454818725586,0.12607961893081665,,
90,689,,,22.532188415527344,3.182126998901367
90,689,98.939453125,0.11088861525058746,,
92,704,99.07369995117188,0.09890367090702057,,
94,719,,,23.175966262817383,3.130335569381714
94,719,99.24822235107422,0.08642152696847916,,
96,734,99.35562133789062,0.08368169516324997,,
98,749,,,23.497854232788086,3.1302857398986816
98,749,99.15425109863281,0.08027447760105133,,
100,764,99.34219360351562,0.07170931994915009,,
102,779,,,23.712446212768555,3.1855204105377197
102,779,99.39588928222656,0.06809665262699127,,
104,794,99.15425109863281,0.06911353766918182,,
106,809,,,24.78540802001953,3.1925244331359863
106,809,99.27507019042969,0.06946190446615219,,
108,824,99.0334243774414,0.07042498141527176,,
110,839,,,29.291845321655273,3.0195281505584717
110,839,99.23479461669922,0.06005493178963661,,
112,854,99.3824691772461,0.05416441336274147,,
114,869,,,28.111587524414062,3.0077919960021973
114,869,99.39588928222656,0.050240956246852875,,
116,884,99.4898681640625,0.04238702356815338,,
118,899,,,29.613733291625977,3.1033761501312256
118,899,99.54356384277344,0.03941861912608147,,
120,914,99.61068725585938,0.03286919370293617,,
122,929,,,32.832618713378906,2.9949886798858643
